dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
538,2021-08-27T07:46:20Z,WeatherObserved,43.46282,-3.80018,23.35,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/538.csv
515,2021-08-27T07:46:19Z,WeatherObserved,43.46399,-3.80893,20.96,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/515.csv
79,2021-08-27T07:46:17Z,WeatherObserved,43.47106,-3.80101,23.22,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/79.csv
489,2021-08-27T07:46:15Z,WeatherObserved,43.46446,-3.80643,22.25,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/489.csv
385,2021-08-27T07:46:13Z,WeatherObserved,43.46463,-3.79669,21.22,,3365.18,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/385.csv
381,2021-08-27T07:46:09Z,WeatherObserved,43.464,-3.79697,21.61,,705.16,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/381.csv
277,2021-08-27T07:46:07Z,WeatherObserved,43.46324,-3.79764,28.12,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/277.csv
517,2021-08-27T07:46:06Z,WeatherObserved,43.46415,-3.80881,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/517.csv
526,2021-08-27T07:46:05Z,WeatherObserved,43.46254,-3.80129,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/526.csv
258,2021-08-27T07:46:03Z,NoiseLevelObserved,43.46262,-3.80161,,,,51.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/258.csv
508,2021-08-27T07:45:57Z,WeatherObserved,43.46424,-3.80545,21.54,,218.89,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/508.csv
528,2021-08-27T07:45:47Z,WeatherObserved,43.4631,-3.80123,23.8,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/528.csv
351,2021-08-27T07:45:46Z,WeatherObserved,43.4631,-3.80938,29.74,,4829.32,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/351.csv
340,2021-08-27T07:45:45Z,WeatherObserved,43.46364,-3.80633,21.41,,0.03,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/340.csv
516,2021-08-27T07:45:40Z,WeatherObserved,43.4639,-3.8088,20.58,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/516.csv
524,2021-08-27T07:45:39Z,WeatherObserved,43.46268,-3.80264,35.87,,86.29,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/524.csv
2560,2021-08-27T07:45:38Z,WeatherObserved,43.46412,-3.79846,0.0,,1135.73,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/2560.csv
